country,region,happiness,gdp,life_expectancy,freedom,social_support
Pakistan,South Asia,5.69329977,8.482727051,58.25313568,0.734833717,0.689062297
Paraguay,Latin America and Caribbean,5.692100048,9.389982224,65.63993835,0.885923445,0.898727894
Dominican Republic,Latin America and Caribbean,5.689199924,9.664880753,65.80748749,0.866202772,0.882085383
Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,9.455817223,67.80813599,0.651352704,0.829204142
Moldova,Commonwealth of Independent States,5.607500076,8.776714325,65.01301575,0.721609175,0.843313575
Tajikistan,Commonwealth of Independent States,5.555699825,8.024810791,64.10459137,0.831383407,0.835297108
Montenegro,Central and Eastern Europe,5.54610014,9.751860619,68.50534821,0.649565637,0.855314612
Russia,Commonwealth of Independent States,5.546000004,10.12887192,64.10045624,0.729892612,0.903150737
Kyrgyzstan,Commonwealth of Independent States,5.541500092,8.148405075,64.10601044,0.909374893,0.887228489
Belarus,Commonwealth of Independent States,5.539899826,9.779945374,66.10433197,0.639163077,0.90674746
North Cyprus,Western Europe,5.53550005,10.40570259,73.70222473,0.79529351,0.820356607
Greece,Western Europe,5.514999866,10.13232613,72.40525818,0.541345119,0.814380348
Hong Kong S.A.R. of China,East Asia,5.510399818,10.9346714,76.77170563,0.779833794,0.845969081
Croatia,Central and Eastern Europe,5.504700184,10.07087517,70.21490479,0.714838803,0.874623716
Libya,Middle East and North Africa,5.488800049,9.789815903,62.29999924,0.773157001,0.825942934
Mongolia,East Asia,5.456200123,9.412186623,62.30448532,0.693351328,0.937142491
Malaysia,Southeast Asia,5.384300232,10.26251888,67.10215759,0.894626856,0.816509426
Vietnam,Southeast Asia,5.353499889,8.809545517,67.9527359,0.939592957,0.849987149
Indonesia,Southeast Asia,5.285600185,9.36975193,62.15584946,0.870614409,0.808379889
Ivory Coast,Sub-Saharan Africa,5.233300209,8.225561142,49.50377274,0.727909327,0.658048689
Benin,Sub-Saharan Africa,5.21600008,7.674319744,54.31246567,0.735182583,0.468671143
Maldives,South Asia,5.197599888,9.518632889,70.59999847,0.853962779,0.91316092
Congo (Brazzaville),Sub-Saharan Africa,5.194399834,8.536987305,57.92448044,0.719058514,0.640228093
Azerbaijan,Commonwealth of Independent States,5.164800167,9.687726974,65.50839996,0.786824107,0.819308281
Macedonia,Central and Eastern Europe,5.159800053,9.510591507,67.50442505,0.738840938,0.820392311
Ghana,Sub-Saharan Africa,5.147999763,8.350645065,57.20398712,0.794796526,0.728601098
Nepal,South Asia,5.137199879,7.925357342,63.77917862,0.797565043,0.785512447
Turkey,Middle East and North Africa,5.131800175,10.12941933,66.90281677,0.608830452,0.826313555
China,East Asia,5.123899937,9.688568115,69.2891922,0.898517907,0.798760593
Turkmenistan,Commonwealth of Independent States,5.119100094,9.74803257,62.21170807,0.826457024,0.958966196
Bulgaria,Central and Eastern Europe,5.101500034,9.869318962,66.80397797,0.745178163,0.937840343
Morocco,Middle East and North Africa,5.094799995,8.940313339,65.89624023,0.772072434,0.592628479
